product_key,family,category
1,AUTOMOTIVE,Other
2,BABY CARE,Personal Care
3,BEAUTY,Personal Care
4,BEVERAGES,Grocery
5,BOOKS,Other
6,BREAD/BAKERY,Bakery
7,CELEBRATION,Seasonal
8,CLEANING,Household
9,DAIRY,Fresh
10,DELI,Fresh
11,EGGS,Fresh
12,FROZEN FOODS,Frozen
13,GROCERY I,Grocery
14,GROCERY II,Grocery
15,HARDWARE,Other
16,HOME AND KITCHEN I,Household
17,HOME AND KITCHEN II,Household
18,HOME APPLIANCES,Other
19,HOME CARE,Household
20,LADIESWEAR,Apparel
21,LAWN AND GARDEN,Other
22,LINGERIE,Apparel
23,"LIQUOR,WINE,BEER",Beverages
24,MAGAZINES,Other
25,MEATS,Fresh
26,PERSONAL CARE,Personal Care
27,PET SUPPLIES,Other
28,PLAYERS AND ELECTRONICS,Electronics
29,POULTRY,Fresh
30,PREPARED FOODS,Frozen
31,PRODUCE,Fresh
32,SCHOOL AND OFFICE SUPPLIES,Seasonal
33,SEAFOOD,Fresh
